party,text
BBB,"Mevrouw Van der Plas (BBB): Ik snap het punt helemaal en daar kan ik ook helemaal in meegaan. Maar dit soort onderwerpen is sneller te agenderen bij de strategische procedurevergadering. Daar kunnen ook debatten worden aangevraagd. Ik zou willen adviseren om dat daar te doen, zodat het ook snel kan."
SP,"Mevrouw Dobbe (SP): Dank u wel, voorzitter. Ziekenhuizen luiden de noodklok over de opkomst van privéklinieken. Die kapen de simpele en winstgevende behandelingen en ondergraven zo de positie van de ziekenhuizen. Het is belangrijk dat ziekenhuiszorg voor iedereen dichtbij en betaalbaar blijft, en dat komt nu in gevaar. Het lijkt mij dus goed als we daar als Kamer een fundamenteel debat over voeren. Voordat hier wordt gezegd ""we hebben volgende week de begroting VWS"": dit verdient echt een apart fundamenteel debat, want het gaat over het voortbestaan van onze ziekenhuizen."
SP,"Mevrouw Dobbe (SP): Dank u wel. De VN hebben Nederland teruggefloten — u heeft het ongetwijfeld allemaal gezien — als het gaat over de uitvoering van het Vrouwenverdrag. Nederland moet beter opkomen voor de rechten van vrouwen. Bijvoorbeeld als het gaat over huiselijk geweld en economisch geweld tegen vrouwen, de toegang tot recht voor vrouwen, zorg door vaders en abortus doet Nederland veel te weinig om discriminatie van vrouwen tegen te gaan. Binnen twee jaar willen de VN significante veranderingen en verbeteringen zien in Nederland. Dat betekent ook werk aan de winkel voor ons. Daarom zouden wij graag een debat hierover willen met de bewindspersoon voor Emancipatie en de minister van JenV."
GroenLinks-PvdA,"Mevrouw Mutluer (GroenLinks-PvdA): Voorzitter. Het is gewoon verschrikkelijk om te zien dat anno 2026 de rechten van vrouwen in Nederland nog steeds onder druk komen te staan. Wat ons betreft dus steun voor het verzoek, maar ik denk dat het handig is om naast JenV en OCW ook VWS uit te nodigen voor het debat, omdat het veel breder is dan veiligheid en ook zorg et cetera betreft."
SGP,"De heer Diederik van Dijk (SGP): Dank u wel, voorzitter. Graag vraag ik een debat aan met de ministers van Langdurige Zorg, Jeugd en Sport en van Sociale Zaken en Werkgelegenheid en met de staatssecretaris van Financiën over het SER-rapport Mantelzorg en werk in een zorgzame samenleving: een integrale aanpak voor een werkende combinatie. Voorafgaand aan dit debat zou ik graag een kabinetsreactie ontvangen."
DENK,"De heer Ergin (DENK): Voorzitter, dank je wel. Twee weken terug hebben we hier met een meerderheid een debat op de lijst gezet over de toeslagenouders die hun dossiers niet krijgen, terwijl ze daar wettelijk recht op hebben. We wisten op dat moment niet of er een nieuwe staatssecretaris zou aantreden. We weten nu dat de staatssecretaris doorgaat. We weten nu ook wat de reactie is van het kabinet. Die is namelijk binnengekomen. Die reactie roept zelf heel veel vragen op. Daarom lijkt het mij verstandig dat we voor al die ouders die al jarenlang hun dossiers niet krijgen en die niet weten waarom ze onterecht als fraudeur zijn weggezet, een debat inplannen met de staatssecretaris van Financiën. Het verzoek is om dat volgende week te houden."
GroenLinks-PvdA,"Mevrouw Westerveld (GroenLinks-PvdA): Voorzitter. Wij steunen dat. Er is veel te doen geweest over deze wet de afgelopen twaalf uur. We hebben de mondelinge toezegging dat de nieuwe bewindspersoon, de nieuwe staatssecretaris, zo snel mogelijk met een nieuwe wet komt. Ik ga ervan uit dat het nieuwe kabinet daar dan vaart mee maakt. Ik hoop dat we die dan voor de zomer toegestuurd zullen krijgen."
ChristenUnie,"De heer Ceder (ChristenUnie): Ja, voorzitter. Ik wil graag twee moties aanhouden onder punt 14, de stemmingen over moties ingediend bij de Vaststelling van de begrotingsstaten van het Ministerie van Asiel en Migratie. Het gaat om de moties op de stukken nrs. 32 en 33. De voorzitter: Op verzoek van de heer Ceder stel ik voor zijn moties (36800-XX, nrs. 32 en 33) aan te houden. Daartoe wordt besloten."
JA21,"De heer Hoogeveen (JA21): Ja, voorzitter. Wij zouden graag wat betreft de Wijziging van de Wet inkomstenbelasting 2001 om werkelijke inkomsten uit bezittingen en schulden in box 3 te belasten (36748) vandaag over de moties willen stemmen, maar donderdag pas over de amendementen, omdat we nog niet genoeg informatie hebben van het ministerie van Financiën ten aanzien van onze dekking. Dus donderdag stemmen over de amendementen en dan daarna gesplitst over het wetsvoorstel."
ChristenUnie,"De heer Grinwis (ChristenUnie): Ja. Ik onderstreep het tweede punt dat de heer Hoogeveen maakte, namelijk dat we donderdag graag gesplitst willen stemmen over de amendementen en de wet. Zo is er tijd voor beraad voor de fracties om na de stemmingen over de amendementen te kijken hoe ze over de wet stemmen."
ChristenUnie,"De heer Grinwis (ChristenUnie): Nee, voorzitter. Ik sluit me aan bij het verzoek van collega Hoogeveen om de stemmingen onder punt 11, over de amendementen en de wet, uit te stellen naar donderdag, maar om dan op die donderdag een splitsing aan te brengen tussen de stemmingen over de amendementen enerzijds en de wet anderzijds."
SP,"De heer Jimmy Dijk (SP): Voorzitter. ""Mijn moeder kon de huur niet meer betalen. Ik kon niet mee op schoolreisje of op kamp. Elke dag was het afwachten wat we 's avonds zouden eten. Soms had ik geen eten om mee naar school te nemen en ook geen geld om daar iets te kopen. Ik gebruikte mijn studiefinanciering om mijn moeder te helpen overleven en rekeningen te betalen. We leefden twee jaar zonder elektriciteit thuis."" Jongeren die door het toeslagenschandaal beroofd zijn van een fijne jeugd, dragen nog altijd de littekens die de Staat hun en hun ouders heeft aangedaan. Het landelijk meldpunt voor gedupeerde jongeren van het toeslagenschandaal heeft dat hier uitgebreid in verwerkt. 40% kon de studie niet afmaken en minstens de helft gebruikte de studiefinanciering ook om het gezin in leven en overend te houden. Nu zitten ze met een stuk hogere studieschulden dan het gemiddelde door een schandaal dat de Staat hun heeft aangedaan. Eerder werd een SP-motie aangenomen om hier iets aan te doen, maar het kabinet weigert die uit te voeren."
DENK,"De heer Ergin (DENK): Voorzitter. Al die verhalen over hoe kinderen, nu jongvolwassen, kapot zijn gemaakt, zijn verschrikkelijk. Wat mij betreft voeren we zo snel mogelijk een debat. Er staat als het goed is al een debat gepland specifiek over de dossiers. Misschien is het een idee om dit onderwerp ook daarbij te betrekken, want vroeg of laat komen we toch uit bij deze studieschulden."
DENK,"De heer El Abassi (DENK): Voorzitter. Tien gemeenten hebben illegaal informatie verzameld over islamitische inwoners. Mensen zijn gevolgd, geprofileerd, geregistreerd en bespioneerd vanwege hun geloof. Dit gebeurde onder leiding van de toenmalige NCTV-chef en huidige minister-president de heer Schoof. Dat is enorm pijnlijk voor Nederlandse moslims. Voorzitter. Deze spionagepraktijken raken aan fundamentele rechtsstatelijke beginselen. Moslims zijn opnieuw onderwerp van institutioneel wantrouwen en religieus profileren, met ernstige gevolgen voor hun privacy en het vertrouwen in de overheid. Natuurlijk wil niemand dat groepen Nederlanders vanwege hun religie worden bespioneerd. Niemand wil dat hier. Daarom vraag ik een debat aan met de minister van Justitie en Veiligheid."
PVV,"Mevrouw Faber (PVV): Dank u wel, voorzitter. Vooral in de grote steden moeten agenten veel incasseren. Ze worden gesard, bespuugd en bedreigd. Van hun bestuur moeten zij vooral begripvol en vriendelijk blijven. En nu is het zover gekomen dat een Utrechtse agent met zijn gezin moet onderduiken. Oorzaak: de agent deed zijn werk. Onverlaten zetten druk op zijn werk en daarmee op de politie door zijn privégegevens wereldwijd te delen. Gasten uit Verweggistan krijgen met voorrang een woning en soms wel twee, en onze eigen agent moet zijn huis ontvluchten. Als wij zo doorgaan, dan wil geen agent meer de straat op. Hiermee komt de democratische rechtsstaat onder vuur. Tijd om een duidelijke streep te trekken: genoeg is genoeg."
VVD,"Mevrouw Michon-Derkzen (VVD): Voorzitter. We hebben er inderdaad net al iets over gezegd in het vragenuurtje. We krijgen informatie vanuit het kabinet. Die informatie zou ik mee willen nemen naar het volgende commissiedebat Politie, waarin we het er inderdaad over moeten hebben hoe we agenten maximaal beschermen tegen deze vreselijke dingen die zij tegenkomen."
Groep Markuszower,"De heer Markuszower (Groep Markuszower): Bedankt, voorzitter. Met de Digital Services Act in de hand schijnt het zo te zijn — dat zegt een commissie van het Amerikaanse Huis van Afgevaardigden; niet de minste — dat verkiezingen in Europese landen, waaronder Nederland, zijn beïnvloed. Mocht dat waar zijn, dan is dat een ernstige zaak. Ik zou daarover graag een debat willen met de minister-president, zodat hij aan zijn EU-collega's kan vragen: what is going on?"
PVV,"De heer Stöteler (PVV): Voorzitter. De PVV wil dit debat ook, maar ik zou het graag vooraf laten gaan door een brief van het kabinet waarin het uitlegt welke afspraken er precies zijn gemaakt met platforms, hoe het ministerie van Binnenlandse Zaken de trustedflaggerstatus heeft gebruikt, hoe die is ingezet en hoe vaak die is ingezet en welke content in welke mate is verwijderd van social media."
Groep Markuszower,"De heer Heutink (Groep Markuszower): Voorzitter. Waar in Nederland de gemiddelde landelijke adviesprijs voor een liter benzine op dit moment €2,24 is, staat er in België €1,40 op de borden. Dat is een verschil van bijna €0,85. Pomphouders zien hun klanten de grens oversteken. De effecten zijn gigantisch, niet alleen voor de portemonnee van de overheid, maar ook vooral voor de Nederlandse inwoners. Er moet iets gebeuren, want we prijzen onszelf de markt uit. Daarom wil ik een groot debat met de minister van Infrastructuur en Waterstaat, de minister van Financiën en de minister van Economische Zaken over de prijs aan de pomp en de bijbehorende grenseffecten. Wat mij betreft nemen we daarin ook direct de hoogte van de tabaksaccijnzen en de prijzen van de boodschappen mee."
GroenLinks-PvdA,"De heer De Hoop (GroenLinks-PvdA): Voorzitter. Het vervoer is voor veel mensen te duur. Daar legt de heer Heutink de vinger op de zere plek. Maar dat geldt niet alleen voor de auto, maar ook voor het openbaar vervoer. Mijn suggestie zou zijn om een breder debat te voeren over vervoerskosten en het effect daarvan op de betaalbaarheid van het leven. Dan zouden wij het debat steunen. Als het alleen over de auto gaat, steunen wij het verzoek niet."
SP,"De heer Jimmy Dijk (SP): Voorzitter. Mensen in het land voelen haarfijn aan dat er de laatste tijd steeds meer cadeautjes zijn gekomen voor vermogenden; die betalen minder belasting. De mensen aan de pomp betalen daar de rekening voor. Ik zou dit debat heel graag willen steunen, in de breedte over vervoerskosten, maar ook over de accijnzen op de brandstof; die kunnen omlaag als we de meest vermogenden wat meer gaan belasten. Maar dan moet dat debat wel gevoerd worden met de minister van Financiën erbij, want anders wordt het een beetje een karig debat."
SP,"Mevrouw Beckerman (SP): Voorzitter. Er is asbest aangetroffen in speelzand voor kinderen. Ondertussen is speelzand nog steeds te koop. Het kabinet wil geen verkoopstop opleggen. Ook andere maatregelen worden niet toegezegd, bleek zojuist in het vragenuur. Daarom vragen wij een debat aan met de staatssecretaris VWS."
GroenLinks-PvdA,"De heer Bushoff (GroenLinks-PvdA): Voorzitter. Ik hoop eigenlijk dat er al eerder duidelijkheid komt over de veiligheid van dit speelgoed. Ik hoop dat er, als het inderdaad onveilig is, al gehandeld wordt voordat er een debat plaatsvindt hier in de Kamer, want dat kan weleens lang duren. Desalniettemin op zich steun. Mocht er een debat nodig zijn, dan denk ik wel dat de begrotingsbehandeling van VWS misschien de eerste mogelijkheid gaat zijn."
VVD,"Mevrouw Wendel (VVD): Hier is echt haast bij nodig en ik denk niet dat een debat hiervoor nu echt gaat helpen. Er is eerder actie nodig, dus wij willen dit gewoon bespreken bij de begroting. Dat is sneller dan een plenair debat. Maar ik wil wel mevrouw Beckerman danken voor de aandacht hiervoor, want het is echt heel belangrijk."
SP,"Mevrouw Beckerman (SP): Nee, voorzitter. Toch laat ik het op de dertigledenlijst zetten. Ik denk dat de leden er gelijk in hebben dat we dit zo snel mogelijk moeten bespreken, maar ik wijs er ook op dat dit gaat over verschillende beleidsterreinen. Ik denk dus dat het ook zinnig is om hier apart een debat over te voeren, want er moet veel gebeuren."
Groep Markuszower,"Mevrouw Lammers (Groep Markuszower): Dank u wel, voorzitter. Er zijn al zo'n 190.000 sociale huurwoningen met voorrang aan statushouders weggegeven in de afgelopen vijftien jaar. Nog eens 53.000 nareizigers zitten in de procedures. Kinderen worden vooruitgestuurd en een gezin van acht, tien of zelfs twaalf mensen komt over. Zij moeten in enorme huizen gevestigd worden terwijl de Nederlander nog niet eens een flatje kan vinden. Dit moet nu afgelopen zijn. We willen onmiddellijk na de aanstelling van een kabinet met de nieuwe minister van Asiel en Migratie een plenair debat over dit onderwerp. Dit is onhoudbaar voor Nederland. Hier kunnen wij niet tegenop bouwen."
SP,"Mevrouw Dobbe (SP): Dank u wel, voorzitter. Twee verzoeken. Vorige week berichtte het Jeroen Bosch Ziekenhuis dat er elke week verwaarloosde ouderen binnenkomen in het ziekenhuis die thuis wonen, maar met wie het thuis niet goed gaat. Elke week. Vandaag berichte Omroep Brabant dat ze het ook in andere ziekenhuizen zien: in Tilburg en Geldrop, door de hele provincie. De verwaarlozing die ze tegenkomen, is extreem: mensen die in hun eigen ontlasting zitten, onderkoeld zijn, doorligplekken hebben of luizen of een infectie hebben. Het is een kaartenhuis dat instort, zegt het Anna Ziekenhuis. De nieuwe coalitie wil miljarden bezuinigen op de zorg, wat het nog veel erger gaat maken. Maar het kaartenhuis dat instort is ook hoe we de zorg in Nederland hebben georganiseerd. Daarom is het belangrijk dat wij een debat hebben over hoe wij omgaan met de zorg voor onze ouderen."
Groep Markuszower,"De heer Claassen (Groep Markuszower): Mijn collega Ten Hove heeft een debat aangevraagd over dit soort zaken, over het ""zorggat"" voor ouderen zoals dat wordt genoemd. Het is schandalig dat dat gebeurt. Dus dat debat ligt er al. Mijn voorstel is dat we het er daarin over hebben en we hebben natuurlijk nog het begrotingsdebat in maart. Dus geen steun voor dit debat, maar de zorgen delen we zeker."
SP,"Mevrouw Dobbe (SP): Ja. In december zijn meer dan 1.000 patiënten in Gaza doodgegaan terwijl ze op een wachtlijst stonden voor medische evacuatie. Meer dan 4.000 kinderen staan nog steeds op een wachtlijst voor medische evacuatie omdat er geen medische voorzieningen zijn voor hen in Gaza of in de regio. Ondertussen mogen 37 internationale hulporganisaties niet meer werken in Gaza. Zij kunnen geen medische hulp geven aan kinderen die dat nodig hebben en kunnen niet zorgen voor voedsel of medicijnen. Dit kabinet heeft een brief gestuurd aan de Kamer — we hebben er zes weken op moeten wachten — over of ze de levens gaan redden van de kinderen voor wie geen andere plek is, maar waarvoor wel plek is in ziekenhuizen hier, zonder dat het ten koste gaat van andere kinderen. Dit kabinet heeft dus weken genomen om te besluiten dat het nieuwe kabinet hierover moet gaan besluiten. Daarom willen wij binnen twee weken na aantreden van het nieuwe kabinet een brief en een debat over hoe het nieuwe kabinet omgaat met medische evacuaties van kinderen uit Gaza en humanitaire hulp in Gaza."
GroenLinks-PvdA,"Mevrouw Piri (GroenLinks-PvdA): Voorzitter. Er staan al twee plenaire debatten gepland. Eentje gaat specifiek over de Palestijnse gebieden, volgens mij kwam dat verzoek van de heer Van Baarle. Eentje gaat over het Midden-Oosten, met mijn steun. Wat mij betreft kunnen we een van die twee gewoon vervroegd inplannen."
DENK,"De heer Van Baarle (DENK): Voorzitter. Als de lijn van het vorige kabinet, het huidige kabinet, dat straks een nieuw kabinet wordt, is dat het nieuwe kabinet het moet gaan uitvoeren, zou ik hier het verzoek willen doen dat het nieuwe kabinet zo spoedig mogelijk een brief stuurt naar de Tweede Kamer over hoe ze daar uitvoering aan willen geven. En van harte steun voor het verzoek om daar zo snel mogelijk een debat over te voeren."
DENK,"De heer Van Baarle (DENK): Voorzitter, dank. Vandaag is het rapport Opgroeien als moslimjongere in een polariserende samenleving verschenen van het KIS, waaruit blijkt dat moslimjongeren in Nederland dagelijks te maken krijgen met discriminatie, met grote gevolgen. Dit is niet het eerste rapport en het zal ook niet het laatste rapport zijn dat aantoont dat veel moslims te maken hebben met discriminatie in ons land. Een tijd geleden heb ik een debat aangevraagd over de bestrijding van moslimdiscriminatie. Dat kreeg een meerderheid van de toenmalige Kamer. Dat debat is inmiddels vervallen. Daarom zou ik graag opnieuw het verzoek willen doen om een plenair debat te houden over moslimdiscriminatie met de minister van Binnenlandse Zaken."
DENK,"De heer Van Baarle (DENK): Volgens mij telde ik wel 30 leden, dus ik zou het graag op de lijst van dertigledendebatten willen zetten. Met uw welnemen zou ik graag een informatieverzoek willen doen. Ik zou graag voor aanvang van het commissiedebat een schriftelijke reactie van het kabinet wensen op het door mij genoemde rapport, zodat we die bij het commissiedebat kunnen betrekken."
FVD,"De heer Van Meijeren (FVD): Dank u, meneer de voorzitter. Het bestaan van elitenetwerken die zich structureel en op grote schaal schuldig maken aan ernstig kindermisbruik werd lange tijd ontkend en gemakzuchtig naar het rijk der fabelen verwezen. Maar inmiddels kan het bestaan van ten minste één zo'n netwerk niet langer worden ontkend. Ik heb het dan natuurlijk over het netwerk rond Jeffrey Epstein. Dat heeft in tal van landen al geleid tot een politiek debat, maar hier in dit huis blijft het vooralsnog muisstil, terwijl uit de vrijgegeven documenten blijkt dat ook Nederlandse personen of organisaties hierbij betrokken zijn, ofwel als dader, ofwel als slachtoffer, ofwel als facilitator ofwel anderszins. Dat moet deugdelijk onderzocht worden. Daarom wil ik graag een brief van het kabinet met een reactie op de onthullingen, gevolgd door een debat met de minister van Justitie en Veiligheid."
Groep Markuszower,"De heer Heutink (Groep Markuszower): Voorzitter. Het is hier helemaal niet muisstil. We hebben in een e-mail ontdekt dat onder anderen een 9-jarig meisje betrokken was bij de dingen van Epstein. Daar hebben we vandaag Kamervragen over gesteld, dus dat wil ik hier even rechtgezet hebben. Maar steun voor een debat."
ChristenUnie,"De heer Ceder (ChristenUnie): Voorzitter. Ik zag dat er Kamervragen waren gesteld. Ik denk dat het belangrijk is dat er een brief komt. Die heeft de heer Van Meijeren ook aangevraagd. Ik wil dat eerst allemaal afwachten en de antwoorden bekijken om te bezien of we hierover een plenair debat moeten voeren. Dus voor nu geen steun, maar ik steun wel het verzoek om een brief te krijgen met een reactie van het kabinet."
FVD,"De heer Van Meijeren (FVD): Ik wil nog wel even iets zeggen in de richting van de heer Heutink. Als hij hierover vandaag Kamervragen heeft gesteld, dan heb ik die nog niet gezien. Heel goed. Ik wacht de beantwoording ook met veel belangstelling af, net als de brief van het kabinet. Ik hoop dat er dan alsnog steun is voor een debat over dit ernstige onderwerp."
JA21,"De heer Van den Berg (JA21): Wat een stichtelijke woorden, voorzitter. Dank. Ik sta hier vandaag om de kwestie van een SMR-rapport in Zeeland te agenderen. Vorige week heeft de minister een brief naar de Kamer gezonden over small modular reactors. Er blijkt dat er veel meer potentie is voor deze kleinere kerncentrales dan tot nu toe werd gedacht. Het is dus belangrijk dat we ons niet alleen focussen op elektriciteit, maar juist ook op warmte uit hoge temperatuur, bijvoorbeeld voor Dow Chemical of Yara. Daarom vraag ik een debat aan om de mogelijkheden verder te onderzoeken en vooral om de versnelling van SMR's daadwerkelijk in gang te zetten, zodat we daar als Nederland de vruchten van kunnen plukken."
CDA,"De heer Krul (CDA): Met duizendmaal dank aan alle collega's die mij even voor hebben gelaten. Ik begrijp dat het een uitzondering is, maar toch heel veel dank voor het meedenken. Dat helpt mij enorm. Voorzitter. Wij lazen vandaag het toch schokkende nieuwsbericht dat bijna 27.000 mensen per jaar op de spoedeisende hulp belanden als direct gevolg van nicotinegebruik. Wat met name opvalt, is de toename van het aantal jongeren dat vapet en daar direct gezondheidsproblemen van ondervindt. Dat vinden wij zorgelijk. Omdat het commissiedebat Leefstijlpreventie is afgelast en nog niet is ingepland, willen wij hier graag een plenair debat over. Dank u wel."
GroenLinks-PvdA,"Mevrouw Van Oosterhout (GroenLinks-PvdA): Dank u wel, voorzitter. Vorige week heeft de rechter een historische uitspraak gedaan in de klimaatzaak van Greenpeace over Bonaire. De rechtbank oordeelde dat de Nederlandse Staat onrechtmatig heeft gehandeld en het verbod op discriminatie heeft geschonden door Bonaire onvoldoende te beschermen tegen de gevolgen van klimaatverandering. De Staat moet binnen achttien maanden bindende tussentijdse doelen in nationale regelgeving vastleggen om de uitstoot terug te dringen, inclusief die van de luchtvaart en de scheepvaart, én met een plan komen en dat uitvoeren om Bonaire weerbaarder te maken tegen de gevolgen van klimaatverandering. Gezien de urgentie en de verstrekkende gevolgen verzoek ik om een debat met de minister van Klimaat en Groene Groei en de staatssecretaris van Binnenlandse Zaken en Koninkrijksrelaties over deze uitspraak en de vervolgstappen."
JA21,"De heer Van den Berg (JA21): Voorzitter. Steun voor een debat op korte termijn, maar wel met een heel andere reden. Ons hebben berichten bereikt dat er verkeerde informatie uit de IPCC-rapporten is gebruikt. Ik wil graag dat de minister dat punt in een debat zou meenemen en een reactie daarop geeft."
DENK,"De heer Ergin (DENK): Voorzitter. Al jaren vraagt de Kamer in debat na debat aan het kabinet om de toeslagenouders hun dossiers te geven. Die ouders hebben recht op hun dossiers. Zij hebben het volste recht om te weten waarom ze onterecht zijn weggezet als fraudeur en waarom de overheid hen kapot heeft gemaakt. In plaats van duidelijkheid en dossiers krijgen ouders echter opnieuw te maken met tegenwerking. Vorige week bleek uit een interne memo dat dossiers niet worden verstrekt aan ouders. Dat is echt ronduit schandalig. Het is echt schandalig dat opnieuw het vertrouwen van al die ouders wordt beschadigd. Dit roept heel veel vragen op. Wat wist de staatssecretaris? Wat had de staatssecretaris moeten weten? Wat is er niet verteld aan de Kamer? Voorzitter. Daarom vraag ik een debat aan met de staatssecretaris van Financiën. Daarbij heb ik ook een informatieverzoek in het kader van artikel 68 van de Grondwet. Ik wil een brief met een reactie van het kabinet met daarbij alle memo's en documenten waarin het beleid rondom het verstrekken van dossiers aan ouders aan de orde is geweest. Ik wil weten of deze documenten de verantwoordelijke bewindspersonen hebben bereikt. Zo ja, welke documenten hebben hen bereikt? Zo nee, waarom niet? En ik wil een tijdslijn vanaf het moment dat het achterhouden van documenten is geconstateerd. Ik wil weten wat daarmee is gedaan en hoe dit alles te rijmen valt met moties en toezeggingen die zijn gedaan tijdens de commissiedebatten op 7 november 2024, 27 maart 2025 en 24 september 2025."
GroenLinks-PvdA,"Mevrouw Westerveld (GroenLinks-PvdA): Voorzitter. Vorige week hebben we ook al een informatieverzoek gedaan. Het is goed om dat aan te vullen met de informatie waar de heer Ergin om vraagt. Wat ons betreft: laten we een debat inplannen als die informatie er is. Ik hoop eigenlijk dat er voor die tijd ook al een voortgangsrapportage is. Als die er voor die tijd is, zouden we er een groter debat van kunnen maken, met ook die stukken."
ChristenUnie,"Mevrouw Bikker (ChristenUnie): Dank u wel, voorzitter. Medio 2023 stelde ik vragen over de contacten van de goklobby met het ministerie van Justitie bij het tot stand komen van wetgeving die online gokken mogelijk maakt. Wat schetst mijn verbazing? Pas op 5 december 2025 kreeg ik antwoorden. Ik kreeg een meter aan stukken over de banden van de goklobby met het ministerie van Justitie. Die hebben geleid tot een enorme toename van verslavingen en tot de legalisering van online gokken, waarbij de reclame over ons heen is gebuiteld, met grote gevolgen. Juist daarom, nu die stukken eindelijk openbaar zijn — vorige week zijn ze onverhoeds even offline gehaald; ik hoop dat ze weer online staan — lijkt het me goed dat de Kamer hier een debat over voert."
ChristenUnie,"Mevrouw Bikker (ChristenUnie): Het is erg goed nieuws dat er nu wél een debat komt. De vorige keer dat ik dit verzoek deed, was de Kamer nog even aan het studeren in de stukken, denk ik. Ik ben dus ontzettend verheugd dat inmiddels een grote meerderheid van de Kamer zegt dat dit debat snel moet worden gevoerd."
Groep Markuszower,"De heer Claassen (Groep Markuszower): Voorzitter. Er was een brede Kamermeerderheid om te gaan kijken of de geboortezorg in het Zuyderlandziekenhuis, locatie Heerlen, overeind gehouden zou kunnen worden. Er zou onderzoek naar gedaan worden. Nu ligt er het voorstel om dat te doen voor Heerlen, maar het bestuur in Heerlen zegt nu: dat hoeft niet, want er is onderzoek gedaan in Zoetermeer en dat is eigenlijk hetzelfde. Ik zou eigenlijk graag een debat willen met de minister om toch wat druk te zetten. Ik wil daarmee de minister aansporen om een haalbaarheidsonderzoek te doen naar het overeind houden van de geboortezorg in het ziekenhuis in Heerlen. Waarom? De regio waarin de locatie Heerlen ligt, Parkstad, heeft een hele slecht SES-waarde. Dat betekent een gezondheidsachterstand voor zwangere vrouwen en de kinderen die daar geboren worden. Het is eigenlijk een schande. Daarom wil ik middels een debat met de minister graag de druk opvoeren."
Groep Markuszower,"De heer Claassen (Groep Markuszower): Mijn tweede debataanvraag gaat over wonen. Dat is voor mij een nieuw onderwerp. Ik heb begrepen dat wij het als Kamer heel belangrijk vinden dat we woningen gaan bouwen. Dat staat in zo'n beetje elk verkiezingsprogramma. Het staat ook in het nieuwe coalitieakkoord. We willen bouwen, bouwen, bouwen, maar elke keer is er berichtgeving dat dat niet lukt. Nu was de berichtgeving dat provincies weer allerlei maatregelen willen, waardoor het gewoon niet lukt om te bouwen. Ik denk dat het goed is om wat betreft dit onderwerp een debat te voeren over wat we als Kamer dan wél moeten doen om ervoor te zorgen dat we woningen gaan bouwen waar onze Nederlanders om smachten."
PVV,"De heer Mooiman (PVV): Het is inderdaad een belangrijk onderwerp. We hebben er ook schriftelijke vragen over gesteld. Eerder is er een motie aangenomen om de bovenwettelijke eisen door provincies en gemeenten tegen te gaan. Ik denk echter dat dit het snelst kan worden behandeld in het notaoverleg over de Nota Ruimte, dan wel in het commissiedebat Staat van de volkshuisvesting. Voor nu dus geen steun, maar het kan wel snel behandeld worden in de commissie."
CDA,"Mevrouw Steen (CDA): Eens. Het is een belangrijk onderwerp. Volgens mij kunnen we hier eerder over spreken als we het in een commissiedebat bespreken, zoals over het Klimaatakkoord gebouwde omgeving, de Nota Ruimte of whatever. Volgens mij zijn we eerder als we het in een commissie doen. Dat scheelt weer een debat op het lijstje."
SGP,"De heer Diederik van Dijk (SGP): Dank, voorzitter. Namens Stoffer doe ik het verzoek aan de Kamer om ook de minister van Economische Zaken uit te nodigen voor het debat over het bericht dat het cloudbedrijf dat DigiD en MijnOverheid host, is verkocht aan een buitenlandse techgigant, en over cloudmigratie naar Amerikaanse techgiganten. Tevens doe ik het verzoek om dit debat nog voor het voorjaarsreces in te plannen."
PvdD,"Mevrouw Teunissen (PvdD): Voorzitter, ik hoop dat het lukt, want ik wil een debat aanvragen over de toekomst van de Nederlandse industrie. Dat is heel belangrijk, onder andere omdat de Wetenschappelijke Klimaatraad vorige week heel helder was in zijn advies Kiezen of verliezen: zonder flinke koerswijzigingen en scherpe keuzes zal Nederland niet alleen de klimaatdoelen niet halen, maar ook nog eens achteropraken. We hebben nog steeds een fossiele, ziekmakende industrie in Nederland. Daarover moeten we echt met de Kamer in gesprek en ook over hoe we ons verhouden tot de nieuwe plannen in het coalitieakkoord over de toekomst van de industrie. Daarom vraag ik een debat aan met de minister van Klimaat en Groene Groei."
JA21,"De heer Ceulemans (JA21): Voorzitter, dank u wel. Afgelopen zondag, 1 februari, startte de tweejaarlijkse cyclus van de Spreidingswet. Volgens die wet moet de minister voor 1 februari de capaciteitsraming, de provinciale opgave en het indicatieve aantal opvangplekken per gemeente bekendmaken. We hebben deze echter nog niet gezien en vinden het wel belangrijk om deze informatie te kunnen betrekken bij de begrotingsbehandeling Asiel en Migratie die we vanmiddag hebben. Door de korte tijd lukte het vrijdag net niet via een e-mailprocedure, dus bij dezen alsnog het verzoek om een brief van de minister voor Asiel en Migratie waarin zij aangeeft hoe ze hier invulling aan geeft, en om, als de aantallen al zijn vastgesteld, alle beschikbare informatie daarover te ontvangen voorafgaand aan de begrotingsbehandeling van vanmiddag."
PVV,"De heer Boon (PVV): Voorzitter. We hebben van de week het rapport Gevangen in vrijheden van de Taskforce Antisemitismebestrijding ontvangen. Eigenlijk wilde ik ""schokkend"" zeggen, maar we zijn niet meer geschokt. We weten het. Het bevestigt wat iedereen al ziet: antisemitisme in Nederland is uit de hand gelopen. Het is structureel. Het is stelselmatig. Het maakt het leven van Joden op straat en universiteiten steeds onveiliger. Het rapport laat ook zien dat het beleid van dit kabinet en van schoolbesturen volledig faalt. Jarenlang is gekozen voor wegkijken, praten, verbinden en dialoogsessies. Dat heeft niets opgelost. Dat heeft het probleem alleen maar groter gemaakt. Daarom wil de PVV graag een brief met de reactie van het kabinet op het rapport en een debat."
